apt_group,indicator_type,indicator
23,domain,graceygretchen.info
23,domain,granddaughterburn.com
23,domain,gtmake.info
23,domain,hadfnews.000webhostapp.com
23,domain,haleymartinez.me
23,domain,hamas31.000webhostapp.com
23,domain,hannah-parsons.info
23,domain,hanoi.dulichovietnam.net
23,domain,hareyupnow.club
23,domain,harper-monty.site
23,domain,harrykane.online
23,domain,harvey-ross.info
23,domain,hayleymarshal.com
23,domain,hazel-grace.info
23,domain,hbamefphmqsdgkqojgwe.com
23,domain,hctmial.com
23,domain,hcttmail.com
23,domain,heidi-minaya.host
23,domain,help-live.club
23,domain,help-sec.club
23,domain,herman-poore.info
23,domain,heyapp.website
23,domain,hidden-chat-e58d7.appspot.com
23,domain,hidden-chat-e58d7.firebaseio.com
23,domain,hidden-chat.online
23,domain,hitmesanjjoy.pro
23,domain,hookupdating.club
23,domain,hookupmsg.club
23,domain,hoopoechat.com
23,domain,hotimael.com
23,domain,hotmailme.website
23,domain,hotpatches.net
23,domain,howard-maria.me
23,domain,iklood.co
23,domain,ikoad.co
23,domain,info.kavalabonline.com
23,domain,infosec.jp
23,domain,irenewansley.icu
23,domain,isaac-rowland.space
23,domain,italk-chat.com
23,domain,italk-chat.info
23,domain,jack-fruit.club
23,domain,jack-keys.site
23,domain,jack-wagner.website
23,domain,james-charles.club
23,domain,jamesmontano.life
23,domain,jarah-zeiman.website
23,domain,jasmin-schaden.com
23,domain,javan-demsky.website
23,domain,jayboyadams.club
23,domain,jeffrey-ruffin.fun
23,domain,jennifer-marler.pw
23,domain,jennifercanti.com
23,domain,jeremy-tanner.live
23,domain,jimmykudo.online
23,domain,jodiecarey.live
23,domain,joe-rumley.pw
23,domain,john-brown.website
23,domain,jon-snow.pro
23,domain,jorah-mormont.info
23,domain,jose-ross.com
23,domain,joycebyers.club
23,domain,juana.fun
23,domain,judystevenson.info
23,domain,juliansturgill.info
23,domain,julie-parker.top
23,domain,junius-cassin.com
23,domain,kagami-adam.com
23,domain,kalisi.info
23,domain,kalisi.org
23,domain,kalisi.xyz
23,domain,kaniel-outis.info
23,domain,karenwheeler.club
23,domain,kate-austen.info
23,domain,katesacker.club
23,domain,katesalinas.icu
23,domain,kathleenhumphreystore.com
23,domain,katie.party
23,domain,kavalabonline.com
23,domain,kentporter.site
23,domain,kevin-good.top
23,domain,kik-com.com
23,domain,kimberlycamp.club
23,domain,kora442.com
23,domain,krasil-anthony.icu
23,domain,kristinthomas.work
23,domain,kristy-milligan.website
23,domain,lagertha-lothbrok.info
23,domain,lapizachat.com
23,domain,leah-burke.com
23,domain,leonard-kim.website
23,domain,leslie-barnes.website
23,domain,leticialittle.pro
23,domain,lets-msger.fun
23,domain,lets-see.site
23,domain,lexi-branson.website
23,domain,lincoln-blake.website
23,domain,linda-callaghan.icu
23,domain,linda-gaytan.website
23,domain,lindamullins.info
23,domain,liz-keen.website
23,domain,log-yoahao.co
23,domain,log-yoheo.info
23,domain,login-yohoo.com
23,domain,lonakodas.club
23,domain,lord-varys.info
23,domain,lordblackwood.club
23,domain,loyronald.site
23,domain,lxsecurity.com
23,domain,lyanna-stark.info
23,domain,magic-smile.co
23,domain,magic-smile.fun
23,domain,magic-store.online
23,domain,magic4smile.com
23,domain,magicchat-1f275.firebaseio.com
23,domain,magicsmile.fun
23,domain,mail-accout.club
23,domain,mail-goog1e.com
23,domain,mail-mofa-pna.com
23,domain,mail-pmi-pna.com
23,domain,mail-police-sec.com
23,domain,mail-presidency.com
23,domain,mailsinfo.net
23,domain,margaery-tyrell.info
23,domain,margaery.co
23,domain,margarita-smith.host
23,domain,maria-bouchard.website
23,domain,marina-samuel.com
23,domain,marklavi.com
23,domain,marty-colvard.top
23,domain,marwapetersson.info
23,domain,mary-crawley.com
23,domain,masuka.club
23,domain,matthew-stevens.club
23,domain,mauricefischer.club
23,domain,mavis-dracula.com
23,domain,max-eleanor.info
23,domain,max-mayfield.com
23,domain,maxlight.us
23,domain,media-storage.site
23,domain,mediafreeuploader.co.uk
23,domain,mediauploader.info
23,domain,mediauploader.me
23,domain,meet-me.chat
23,domain,meetme.cam
23,domain,melissa-garcia.site
23,domain,melissa-gonzalez.com
23,domain,men-ana.fun
